path	required	kind	min_rows	required_columns	required_values
results_90pt/scored_matrices/adaptive_laundering_trace_scores.parquet	true	trace_scores	3600	experiment,condition,dataset,student_id,seed,trace_id,label,score_cml,score_baseline,source_teacher,reference_model,attack_model,attack_recipe	condition=identity_control|paraphrase_second_model|truncate_reasoning_to_final_steps|answer_only_compression|self_rewrite_with_non_candidate_llm;dataset=GSM8K
results_90pt/summaries/adaptive_laundering_student_summary.csv	true	student_summary	15	experiment,condition,dataset,student_id,seed,auroc,tpr_at_1pct_fpr,fpr_zero,delta_auroc_vs_identity	condition=identity_control|paraphrase_second_model|truncate_reasoning_to_final_steps|answer_only_compression|self_rewrite_with_non_candidate_llm;dataset=GSM8K
results_90pt/scored_matrices/base_mismatch_reference_scores.parquet	true	trace_scores	3600	experiment,condition,dataset,student_id,seed,trace_id,label,score_cml,reference_model,reference_family,base_match_status	condition=correct_base_reference|neighboring_same_family_reference|different_family_reference;dataset=GSM8K
results_90pt/summaries/base_mismatch_calibration_summary.csv	true	student_summary	9	experiment,condition,dataset,reference_model,auroc,tpr_at_1pct_fpr,fpr_zero,calibration_bias	condition=correct_base_reference|neighboring_same_family_reference|different_family_reference;dataset=GSM8K
results_90pt/scored_matrices/out_of_set_candidate_scores.parquet	true	trace_scores	1800	experiment,condition,dataset,student_id,seed,true_teacher,pred_teacher,score_margin,abstained,score_cml	condition=source_teacher_present_closed_set|source_teacher_absent|sibling_teacher_absent|unrelated_capable_teacher_present;dataset=GSM8K
results_90pt/summaries/out_of_set_abstention_summary.csv	true	student_summary	12	experiment,condition,dataset,student_id,seed,abstention_rate,false_attribution_rate,closed_set_accuracy	condition=source_teacher_present_closed_set|source_teacher_absent|sibling_teacher_absent|unrelated_capable_teacher_present;dataset=GSM8K
results_90pt/summaries/cross_base_student_matrix.csv	true	student_summary	6	experiment,condition,dataset,student_base,student_training,seed,auroc,tpr_at_1pct_fpr,fpr_zero	transfer_type=within-family|cross-family;dataset=GSM8K
results_90pt/scored_matrices/mtcr_per_task_profiles.parquet	true	task_scores	48	experiment,condition,task_view,candidate_teacher,reference_model,student_id,seed,score_cml,score_mtcr	condition=per_task_reference_profile|per_view_scored_matrix;dataset=GSM8K
results_90pt/summaries/mtcr_task_ablation_with_ci.csv	true	task_summary	12	experiment,calibration_tasks,candidate_teacher,mean_accuracy,ci_low,ci_high,n_students	calibration_tasks=1|2|4|8|12|16
results_90pt/reproducibility/reproducibility_manifest.tsv	true	manifest	1	artifact_id,artifact_type,path,sha256,size_bytes,created_at,source_run_id,public_release_status	
